M 1 1 15 78 98 131 1044 19
M 5 6 14 91 163 101 585 16
M 6 0 6 143 135 137 1072 41
M 7 0 7 149 187 94 507 18
M 9 3 15 119 173 123 764 37
M 10 0 15 123 105 83 804 23
M 13 0 17 167 184 208 1395 43
M 14 1 17 142 213 178 1989 12
M 17 0 10 60 96 100 834 16
M 18 1 29 171 162 165 1846 49
M 19 0 18 171 138 223 1658 65
M 20 1 10 85 80 81 605 38
M 22 1 1 21 7 1 37 1
M 23 2 20 168 330 79 297 21
M 24 2 10 172 147 110 537 39
M 25 3 23 172 329 108 461 21
M 26 2 8 128 94 71 334 21
M 28 5 11 163 235 90 348 28
M 30 4 20 190 178 69 289 27
M 32 10 25 219 375 110 315 34
M 33 4 11 146 202 114 264 38
M 34 6 22 226 283 122 557 62
X 40 10 26 474 719 255 722 118
X 41 5 30 164 265 119 311 54
X 42 13 24 286 513 205 391 108
X 43 5 46 359 559 140 612 143
X 44 8 42 430 793 173 729 111
X 45 3 19 143 243 99 543 125
X 46 10 40 359 602 199 504 63
X 47 8 59 347 682 245 513 183
X 48 10 39 309 376 150 401 86
X 49 3 22 190 288 133 421 98
X 50 1 15 107 144 102 500 90
X 52 8 34 363 564 184 726 78
K 60 6 18 121 252 85 425 39
K 61 3 19 141 192 144 562 60
K 62 0 20 132 125 162 568 50
K 63 2 16 75 153 88 454 66
K 66 1 23 116 146 164 478 69
K 67 7 51 235 485 156 569 127
K 68 1 14 73 122 104 385 78
K 69 2 25 91 146 63 286 72
K 70 7 32 157 238 133 587 56
K 71 4 20 169 307 126 415 89
K 72 1 30 181 249 159 512 77
K 73 11 48 293 592 166 363 75
K 75 10 93 683 941 468 1034 296
K 76 0 2 42 76 64 187 23
K 77 14 20 196 255 127 344 69
K 78 0 11 79 99 104 497 40
K 79 10 15 261 365 259 556 77
K 81 3 24 213 294 215 463 74
K 83 9 31 237 351 247 531 113
K 84 1 3 138 136 111 668 28
K 88 1 18 144 203 122 450 35
K 90 5 20 179 234 202 583 72
K 94 2 8 68 88 106 429 97
Q 100 2 16 40 144 46 162 42
Q 101 2 25 118 364 112 204 39
Q 102 5 26 114 187 88 224 70
Q 103 5 26 314 448 171 450 102
Q 104 4 28 189 207 180 607 141
Q 105 8 30 180 365 181 648 212
Q 106 5 20 138 273 131 549 109
Q 107 2 28 158 179 231 520 87
Q 108 2 20 100 150 96 572 88
Q 109 3 37 209 295 343 944 91
Q 110 2 34 273 319 125 617 81
Q 111 1 7 25 80 193 389 47
Q 112 0 16 40 62 51 331 36
Q 113 15 30 156 385 156 423 135
Q 114 2 34 184 364 196 782 136
Q 115 11 42 246 344 125 520 128
S 120 3 23 94 282 91 286 59
S 121 2 17 81 194 94 318 56
S 122 6 10 40 81 64 272 38
S 123 3 4 12 62 32 170 25
